time,G(i),H_sun,T2m,WS10m,Int
20130105:0209,0.0,0.0,8.59,3.54,0.0
20130105:0309,0.0,0.0,8.54,3.6,0.0
20130105:0409,0.0,0.0,8.46,3.48,0.0
20130105:0509,0.0,0.0,8.38,3.36,0.0
20130105:0609,24.0,4.05,8.3,3.24,0.0
20130105:0709,176.01,13.36,9.57,3.03,0.0
20130105:0809,341.01,21.07,10.85,2.82,0.0
20130105:0909,425.01,26.58,12.12,2.61,0.0
20130105:1009,493.01,29.25,12.63,2.56,0.0
20130105:1109,424.01,28.72,13.14,2.51,0.0
20130105:1209,282.0,25.06,13.65,2.47,0.0
20130105:1309,176.0,18.76,13.26,2.41,0.0
20130105:1409,89.0,10.46,12.86,2.36,0.0
20130105:1509,0.0,0.75,12.47,2.3,1.0
20130105:1609,0.0,0.0,11.68,2.5,0.0
20130105:1709,0.0,0.0,10.89,2.7,0.0
20130105:1809,0.0,0.0,10.11,2.9,0.0
20130105:1909,0.0,0.0,9.65,2.92,0.0
20130105:2009,0.0,0.0,9.19,2.94,0.0
20130105:2109,0.0,0.0,8.73,2.97,0.0
20130105:2209,0.0,0.0,8.56,3.03,0.0
20130105:2309,0.0,0.0,8.39,3.09,0.0
20130106:0009,0.0,0.0,8.23,3.14,0.0
20130106:0109,0.0,0.0,7.91,3.31,0.0
20130106:0209,0.0,0.0,7.59,3.47,0.0
20130106:0309,0.0,0.0,7.28,3.63,0.0
20130106:0409,0.0,0.0,6.9,4.18,0.0
20130106:0509,0.0,0.0,6.52,4.73,0.0
20130106:0609,22.0,4.06,6.15,5.28,0.0
20130106:0709,93.0,13.39,7.22,6.43,0.0
20130106:0809,66.0,21.12,8.29,7.58,0.0
20130106:0909,50.0,26.66,9.36,8.73,0.0
20130106:1009,271.0,29.36,9.35,8.98,0.0
20130106:1109,472.01,28.85,9.35,9.23,0.0
20130106:1209,372.01,25.2,9.34,9.48,0.0
20130106:1309,275.01,18.91,8.92,8.77,0.0
20130106:1409,120.0,10.61,8.51,8.06,0.0
20130106:1509,0.0,0.9,8.09,7.35,1.0
20130106:1609,0.0,0.0,7.34,6.49,0.0
20130106:1709,0.0,0.0,6.59,5.63,0.0
20130106:1809,0.0,0.0,5.85,4.77,0.0
20130106:1909,0.0,0.0,5.58,4.4,0.0
20130106:2009,0.0,0.0,5.31,4.04,0.0
20130106:2109,0.0,0.0,5.04,3.67,0.0
20130106:2209,0.0,0.0,5.06,3.78,0.0
20130106:2309,0.0,0.0,5.07,3.89,0.0
20130107:0009,0.0,0.0,5.09,4.0,0.0
20130107:0109,0.0,0.0,5.18,3.89,0.0
20130107:0209,0.0,0.0,5.27,3.79,0.0
20130107:0309,0.0,0.0,5.36,3.68,0.0
20130107:0409,0.0,0.0,5.35,3.47,0.0
20130107:0509,0.0,0.0,5.35,3.25,0.0
20130107:0609,23.0,4.08,5.35,3.03,0.0
20130107:0709,199.01,13.42,7.0,2.73,0.0
20130107:0809,335.01,21.18,8.65,2.43,0.0
20130107:0909,469.01,26.75,10.3,2.12,0.0
20130107:1009,520.02,29.48,10.98,2.52,0.0
20130107:1109,477.01,28.99,11.66,2.92,0.0
20130107:1209,390.01,25.35,12.34,3.32,0.0
20130107:1309,164.0,19.06,12.0,3.52,0.0
20130107:1409,94.0,10.77,11.65,3.71,0.0
20130107:1509,0.0,1.05,11.31,3.9,1.0
20130107:1609,0.0,0.0,10.18,4.51,0.0
20130107:1709,0.0,0.0,9.06,5.11,0.0
20130107:1809,0.0,0.0,7.94,5.71,0.0
20130107:1909,0.0,0.0,7.11,5.82,0.0
20130107:2009,0.0,0.0,6.29,5.92,0.0
20130107:2109,0.0,0.0,5.46,6.03,0.0
20130107:2209,0.0,0.0,5.01,6.74,0.0
20130107:2309,0.0,0.0,4.56,7.46,0.0
20130108:0009,0.0,0.0,4.12,8.18,0.0
20130108:0109,0.0,0.0,4.03,7.99,0.0
20130108:0209,0.0,0.0,3.94,7.79,0.0
20130108:0309,0.0,0.0,3.85,7.6,0.0
20130108:0409,0.0,0.0,3.58,7.67,0.0
20130108:0509,0.0,0.0,3.31,7.75,0.0
20130108:0609,23.0,4.1,3.05,7.82,0.0
20130108:0709,182.01,13.47,3.67,7.96,0.0
20130108:0809,344.01,21.25,4.29,8.1,0.0
20130108:0909,437.01,26.84,4.91,8.23,0.0
20130108:1009,383.01,29.6,5.07,7.69,0.0
20130108:1109,177.0,29.13,5.22,7.15,0.0
20130108:1209,262.0,25.51,5.38,6.61,0.0
20130108:1309,230.0,19.23,5.16,5.69,0.0
20130108:1409,114.0,10.93,4.93,4.77,0.0
20130108:1509,0.0,1.21,4.71,3.85,1.0
20130108:1609,0.0,0.0,3.97,3.65,0.0
20130108:1709,0.0,0.0,3.23,3.44,0.0
20130108:1809,0.0,0.0,2.5,3.24,0.0
20130108:1909,0.0,0.0,2.36,3.33,0.0
20130108:2009,0.0,0.0,2.23,3.43,0.0
20130108:2109,0.0,0.0,2.1,3.52,0.0
20130108:2209,0.0,0.0,2.24,3.93,0.0
20130108:2309,0.0,0.0,2.38,4.34,0.0
20130109:0009,0.0,0.0,2.53,4.74,0.0
20130109:0109,0.0,0.0,2.54,4.6,0.0
20130109:0209,0.0,0.0,2.56,4.46,0.0
20130109:0309,0.0,0.0,2.58,4.32,0.0
20130109:0409,0.0,0.0,2.42,3.93,0.0
20130109:0509,0.0,0.0,2.26,3.54,0.0
20130109:0609,24.0,4.13,2.11,3.14,0.0
20130109:0709,204.01,13.51,3.42,2.98,0.0
20130109:0809,345.01,21.33,4.72,2.81,0.0
20130109:0909,456.01,26.94,6.03,2.65,0.0
20130109:1009,504.01,29.73,6.43,2.34,0.0
20130109:1109,411.01,29.28,6.82,2.02,0.0
20130109:1209,400.01,25.67,7.22,1.71,0.0
20130109:1309,276.01,19.39,7.08,1.75,0.0
20130109:1409,68.0,11.1,6.94,1.78,0.0
20130109:1509,0.0,1.37,6.8,1.82,1.0
20130109:1609,0.0,0.0,6.68,1.94,0.0
20130109:1709,0.0,0.0,6.57,2.05,0.0
20130109:1809,0.0,0.0,6.46,2.17,0.0
20130109:1909,0.0,0.0,6.33,2.02,0.0
20130109:2009,0.0,0.0,6.2,1.88,0.0
20130109:2109,0.0,0.0,6.07,1.74,0.0
20130109:2209,0.0,0.0,6.11,1.94,0.0
20130109:2309,0.0,0.0,6.15,2.13,0.0
20130110:0009,0.0,0.0,6.2,2.33,0.0
20130110:0109,0.0,0.0,5.82,2.17,0.0
20130110:0209,0.0,0.0,5.44,2.01,0.0
20130110:0309,0.0,0.0,5.07,1.85,0.0
20130110:0409,0.0,0.0,5.01,1.67,0.0
20130110:0509,0.0,0.0,4.95,1.5,0.0
20130110:0609,24.0,4.16,4.9,1.32,0.0
20130110:0709,204.01,13.57,6.24,0.97,0.0
20130110:0809,349.01,21.41,7.57,0.63,0.0
20130110:0909,456.01,27.05,8.91,0.28,0.0
20130110:1009,507.01,29.87,9.45,1.35,0.0
20130110:1109,479.01,29.44,9.99,2.43,0.0
20130110:1209,401.01,25.84,10.53,3.5,0.0
20130110:1309,311.01,19.57,10.0,3.35,0.0
20130110:1409,106.0,11.27,9.47,3.19,0.0
20130110:1509,0.0,1.54,8.94,3.03,1.0
20130110:1609,0.0,0.0,8.65,3.05,0.0
20130110:1709,0.0,0.0,8.36,3.07,0.0
20130110:1809,0.0,0.0,8.08,3.09,0.0
20130110:1909,0.0,0.0,8.09,3.16,0.0
20130110:2009,0.0,0.0,8.1,3.23,0.0
20130110:2109,0.0,0.0,8.11,3.3,0.0
20130110:2209,0.0,0.0,8.31,3.72,0.0
20130110:2309,0.0,0.0,8.51,4.14,0.0
20130111:0009,0.0,0.0,8.71,4.57,0.0
20130111:0109,0.0,0.0,8.97,5.71,0.0
20130111:0209,0.0,0.0,9.24,6.86,0.0
20130111:0309,0.0,0.0,9.51,8.01,0.0
20130111:0409,0.0,0.0,9.63,6.84,0.0
20130111:0509,0.0,0.0,9.76,5.66,0.0
20130111:0609,20.0,4.2,9.89,4.48,0.0
20130111:0709,83.0,13.63,11.06,5.11,0.0
20130111:0809,92.0,21.5,12.22,5.73,0.0
20130111:0909,450.01,27.17,13.39,6.36,0.0
20130111:1009,481.01,30.01,13.64,6.01,0.0
20130111:1109,485.01,29.6,13.89,5.66,0.0
20130111:1209,392.01,26.02,14.14,5.31,0.0
20130111:1309,312.01,19.74,13.18,4.25,0.0
20130111:1409,120.0,11.44,12.22,3.2,0.0
20130111:1509,0.0,1.71,11.26,2.14,1.0
20130111:1609,0.0,0.0,10.43,2.31,0.0
20130111:1709,0.0,0.0,9.6,2.48,0.0
20130111:1809,0.0,0.0,8.77,2.65,0.0
20130111:1909,0.0,0.0,8.58,2.69,0.0
20130111:2009,0.0,0.0,8.4,2.73,0.0
20130111:2109,0.0,0.0,8.22,2.77,0.0
20130111:2209,0.0,0.0,8.4,2.82,0.0
20130111:2309,0.0,0.0,8.58,2.86,0.0
20130112:0009,0.0,0.0,8.76,2.91,0.0
20130112:0109,0.0,0.0,8.72,2.86,0.0
20130112:0209,0.0,0.0,8.68,2.81,0.0
20130112:0309,0.0,0.0,8.65,2.76,0.0
20130112:0409,0.0,0.0,8.65,2.73,0.0
20130112:0509,0.0,0.0,8.66,2.7,0.0
20130112:0609,25.0,4.25,8.67,2.68,0.0
20130112:0709,157.0,13.7,10.08,3.06,0.0
20130112:0809,350.01,21.59,11.5,3.44,0.0
20130112:0909,106.0,27.29,12.91,3.82,0.0
20130112:1009,528.02,30.16,13.14,3.99,0.0
20130112:1109,501.01,29.77,13.36,4.16,0.0
20130112:1209,431.01,26.2,13.59,4.33,0.0
20130112:1309,312.01,19.92,13.29,4.08,0.0
20130112:1409,32.0,11.62,12.98,3.83,0.0
20130112:1509,0.0,1.88,12.68,3.59,1.0
20130112:1609,0.0,0.0,11.78,3.41,0.0
20130112:1709,0.0,0.0,10.89,3.24,0.0
20130112:1809,0.0,0.0,10.0,3.06,0.0
20130112:1909,0.0,0.0,9.46,2.88,0.0
20130112:2009,0.0,0.0,8.93,2.69,0.0
20130112:2109,0.0,0.0,8.39,2.51,0.0
20130112:2209,0.0,0.0,8.48,2.44,0.0
20130112:2309,0.0,0.0,8.56,2.36,0.0
20130113:0009,0.0,0.0,8.65,2.29,0.0
20130113:0109,0.0,0.0,8.67,2.54,0.0
20130113:0209,0.0,0.0,8.69,2.79,0.0
20130113:0309,0.0,0.0,8.71,3.03,0.0
20130113:0409,0.0,0.0,8.95,3.1,0.0
20130113:0509,0.0,0.0,9.2,3.17,0.0
20130113:0609,25.0,4.3,9.45,3.24,0.0
20130113:0709,206.01,13.78,10.4,2.93,0.0
20130113:0809,352.01,21.69,11.35,2.62,0.0
20130113:0909,444.01,27.42,12.3,2.3,0.0
20130113:1009,514.01,30.32,12.52,1.92,0.0
20130113:1109,448.01,29.95,12.74,1.54,0.0
20130113:1209,393.01,26.38,12.96,1.16,0.0
20130113:1309,265.01,20.11,12.76,1.37,0.0
20130113:1409,122.0,11.8,12.56,1.58,0.0
20130113:1509,0.0,2.06,12.36,1.79,1.0
20130113:1609,0.0,0.0,11.68,2.14,0.0
20130113:1709,0.0,0.0,11.0,2.48,0.0
20130113:1809,0.0,0.0,10.33,2.83,0.0
20130113:1909,0.0,0.0,10.22,2.51,0.0
20130113:2009,0.0,0.0,10.12,2.18,0.0
20130113:2109,0.0,0.0,10.02,1.86,0.0
20130113:2209,0.0,0.0,10.2,2.5,0.0
20130113:2309,0.0,0.0,10.38,3.13,0.0
20130114:0009,0.0,0.0,10.56,3.77,0.0
20130114:0109,0.0,0.0,10.34,3.71,0.0
20130114:0209,0.0,0.0,10.12,3.66,0.0
20130114:0309,0.0,0.0,9.91,3.61,0.0
20130114:0409,0.0,0.0,10.06,3.67,0.0
20130114:0509,0.0,0.0,10.21,3.72,0.0
20130114:0609,26.0,4.36,10.36,3.78,0.0
20130114:0709,77.0,13.86,11.66,3.88,0.0
20130114:0809,115.0,21.8,12.96,3.98,0.0
20130114:0909,86.0,27.56,14.26,4.08,0.0
20130114:1009,46.0,30.48,14.6,4.0,0.0
20130114:1109,139.0,30.14,14.93,3.91,0.0
20130114:1209,70.0,26.58,15.27,3.82,0.0
20130114:1309,141.0,20.3,14.79,3.48,0.0
20130114:1409,112.0,11.99,14.3,3.14,0.0
20130114:1509,0.0,2.24,13.82,2.8,1.0
20130114:1609,0.0,0.0,13.11,2.91,0.0
20130114:1709,0.0,0.0,12.4,3.02,0.0
20130114:1809,0.0,0.0,11.7,3.13,0.0
20130114:1909,0.0,0.0,11.4,3.14,0.0
20130114:2009,0.0,0.0,11.1,3.15,0.0
20130114:2109,0.0,0.0,10.8,3.16,0.0
20130114:2209,0.0,0.0,10.88,3.27,0.0
20130114:2309,0.0,0.0,10.95,3.39,0.0
20130115:0009,0.0,0.0,11.03,3.5,0.0
20130115:0109,0.0,0.0,10.84,3.53,0.0
20130115:0209,0.0,0.0,10.65,3.56,0.0
20130115:0309,0.0,0.0,10.46,3.59,0.0
20130115:0409,0.0,0.0,10.44,3.52,0.0
20130115:0509,0.0,0.0,10.42,3.45,0.0
20130115:0609,27.0,4.43,10.41,3.38,0.0
20130115:0709,210.01,13.94,11.92,3.97,0.0
20130115:0809,272.0,21.91,13.43,4.56,0.0
20130115:0909,343.01,27.71,14.94,5.14,0.0
20130115:1009,224.0,30.65,15.14,5.09,0.0
20130115:1109,415.01,30.33,15.35,5.03,0.0
20130115:1209,308.0,26.77,15.55,4.98,0.0
20130115:1309,225.0,20.5,14.88,5.05,0.0
20130115:1409,146.0,12.18,14.21,5.13,0.0
20130115:1509,1.0,2.42,13.54,5.2,1.0
20130115:1609,0.0,0.0,13.21,5.37,0.0
20130115:1709,0.0,0.0,12.88,5.53,0.0
20130115:1809,0.0,0.0,12.55,5.7,0.0
20130115:1909,0.0,0.0,12.52,6.07,0.0
20130115:2009,0.0,0.0,12.5,6.45,0.0
20130115:2109,0.0,0.0,12.47,6.83,0.0
20130115:2209,0.0,0.0,12.77,7.89,0.0
20130115:2309,0.0,0.0,13.07,8.96,0.0
20130116:0009,0.0,0.0,13.37,10.03,0.0
20130116:0109,0.0,0.0,13.15,9.88,0.0
20130116:0209,0.0,0.0,12.94,9.72,0.0
20130116:0309,0.0,0.0,12.73,9.57,0.0
20130116:0409,0.0,0.0,12.36,9.43,0.0
20130116:0509,0.0,0.0,12.0,9.28,0.0
20130116:0609,4.0,4.5,11.64,9.13,0.0
20130116:0709,19.0,14.04,12.49,9.15,0.0
20130116:0809,32.0,22.04,13.34,9.17,0.0
20130116:0909,75.0,27.86,14.19,9.19,0.0
20130116:1009,46.0,30.83,14.28,9.21,0.0
20130116:1109,54.0,30.52,14.38,9.24,0.0
20130116:1209,246.0,26.98,14.47,9.27,0.0
20130116:1309,217.0,20.7,13.97,8.87,0.0
20130116:1409,129.0,12.38,13.46,8.48,0.0
20130116:1509,14.44,2.61,12.96,8.08,0.0
20130116:1609,0.0,0.0,12.35,7.78,0.0
20130116:1709,0.0,0.0,11.75,7.49,0.0
20130116:1809,0.0,0.0,11.15,7.19,0.0
20130116:1909,0.0,0.0,10.58,7.15,0.0
20130116:2009,0.0,0.0,10.02,7.12,0.0
20130116:2109,0.0,0.0,9.45,7.09,0.0
20130116:2209,0.0,0.0,9.73,6.95,0.0
20130116:2309,0.0,0.0,10.01,6.81,0.0
20130117:0009,0.0,0.0,10.29,6.68,0.0
20130117:0109,0.0,0.0,10.42,6.14,0.0
20130117:0209,0.0,0.0,10.56,5.61,0.0
20130117:0309,0.0,0.0,10.7,5.08,0.0
20130117:0409,0.0,0.0,10.79,4.54,0.0
20130117:0509,0.0,0.0,10.88,4.0,0.0
20130117:0609,23.0,4.57,10.97,3.46,0.0
20130117:0709,219.01,14.14,12.01,4.64,0.0
20130117:0809,240.0,22.16,13.04,5.83,0.0
20130117:0909,358.01,28.02,14.08,7.01,0.0
20130117:1009,169.0,31.02,14.12,7.52,0.0
20130117:1109,252.0,30.73,14.17,8.04,0.0
20130117:1209,81.0,27.19,14.21,8.55,0.0
20130117:1309,310.01,20.91,13.88,8.68,0.0
20130117:1409,90.0,12.57,13.55,8.82,0.0
20130117:1509,5.0,2.8,13.22,8.95,0.0
20130117:1609,0.0,0.0,12.89,9.09,0.0
20130117:1709,0.0,0.0,12.56,9.24,0.0
20130117:1809,0.0,0.0,12.24,9.38,0.0
20130117:1909,0.0,0.0,11.98,9.33,0.0
20130117:2009,0.0,0.0,11.73,9.29,0.0
20130117:2109,0.0,0.0,11.47,9.24,0.0
20130117:2209,0.0,0.0,11.62,9.46,0.0
20130117:2309,0.0,0.0,11.77,9.67,0.0
20130118:0009,0.0,0.0,11.92,9.89,0.0
20130118:0109,0.0,0.0,11.76,10.15,0.0
20130118:0209,0.0,0.0,11.6,10.4,0.0
20130118:0309,0.0,0.0,11.45,10.66,0.0
20130118:0409,0.0,0.0,11.59,10.91,0.0
20130118:0509,0.0,0.0,11.74,11.16,0.0
20130118:0609,10.0,4.66,11.89,11.41,0.0
20130118:0709,67.0,14.24,12.36,10.74,0.0
20130118:0809,84.0,22.3,12.82,10.07,0.0
20130118:0909,56.0,28.18,13.29,9.41,0.0
20130118:1009,159.0,31.21,12.9,8.62,0.0
20130118:1109,47.0,30.94,12.5,7.83,0.0
20130118:1209,43.0,27.4,12.11,7.03,0.0
20130118:1309,244.0,21.12,11.59,6.59,0.0
20130118:1409,30.0,12.78,11.06,6.14,0.0
20130118:1509,23.72,2.99,10.54,5.7,0.0
20130118:1609,0.0,0.0,10.08,5.82,0.0
20130118:1709,0.0,0.0,9.62,5.94,0.0
20130118:1809,0.0,0.0,9.16,6.07,0.0
20130118:1909,0.0,0.0,9.13,6.29,0.0
20130118:2009,0.0,0.0,9.1,6.51,0.0
20130118:2109,0.0,0.0,9.07,6.73,0.0
20130118:2209,0.0,0.0,9.08,6.58,0.0
20130118:2309,0.0,0.0,9.08,6.44,0.0
20130119:0009,0.0,0.0,9.09,6.29,0.0
20130119:0109,0.0,0.0,8.96,6.06,0.0
20130119:0209,0.0,0.0,8.84,5.83,0.0
20130119:0309,0.0,0.0,8.72,5.6,0.0
20130119:0409,0.0,0.0,8.68,5.71,0.0
20130119:0509,0.0,0.0,8.64,5.83,0.0
20130119:0609,25.0,4.75,8.61,5.94,0.0
20130119:0709,119.0,14.36,9.44,6.03,0.0
20130119:0809,373.01,22.44,10.28,6.11,0.0
20130119:0909,481.01,28.35,11.11,6.19,0.0
20130119:1009,518.01,31.41,11.78,6.18,0.0
20130119:1109,519.01,31.15,12.45,6.17,0.0
20130119:1209,458.01,27.62,13.12,6.17,0.0
20130119:1309,344.01,21.33,12.83,5.14,0.0
20130119:1409,190.01,12.98,12.53,4.12,0.0
20130119:1509,2.0,3.19,12.24,3.1,0.0
20130119:1609,0.0,0.0,11.46,3.03,0.0
20130119:1709,0.0,0.0,10.68,2.95,0.0
20130119:1809,0.0,0.0,9.9,2.87,0.0
20130119:1909,0.0,0.0,9.61,2.87,0.0
20130119:2009,0.0,0.0,9.33,2.88,0.0
20130119:2109,0.0,0.0,9.05,2.88,0.0
20130119:2209,0.0,0.0,9.19,2.96,0.0
20130119:2309,0.0,0.0,9.33,3.03,0.0
20130120:0009,0.0,0.0,9.48,3.1,0.0
20130120:0109,0.0,0.0,9.65,2.93,0.0
20130120:0209,0.0,0.0,9.82,2.76,0.0
20130120:0309,0.0,0.0,9.99,2.59,0.0
20130120:0409,0.0,0.0,10.05,2.52,0.0
20130120:0509,0.0,0.0,10.12,2.46,0.0
20130120:0609,5.0,4.84,10.19,2.39,0.0
20130120:0709,67.0,14.48,11.85,2.46,0.0
20130120:0809,314.01,22.59,13.52,2.54,0.0
20130120:0909,471.01,28.53,15.18,2.62,0.0
20130120:1009,542.01,31.61,15.88,3.18,0.0
20130120:1109,511.01,31.37,16.57,3.73,0.0
20130120:1209,465.01,27.85,17.27,4.29,0.0
20130120:1309,356.01,21.55,16.73,4.43,0.0
20130120:1409,151.0,13.19,16.2,4.57,0.0
20130120:1509,16.81,3.38,15.66,4.7,0.0
20130120:1609,0.0,0.0,14.64,4.98,0.0
20130120:1709,0.0,0.0,13.62,5.26,0.0
20130120:1809,0.0,0.0,12.6,5.54,0.0
20130120:1909,0.0,0.0,12.23,5.11,0.0
20130120:2009,0.0,0.0,11.87,4.67,0.0
20130120:2109,0.0,0.0,11.51,4.23,0.0
20130120:2209,0.0,0.0,11.68,3.71,0.0
20130120:2309,0.0,0.0,11.85,3.19,0.0
20130121:0009,0.0,0.0,12.02,2.66,0.0
20130121:0109,0.0,0.0,11.72,2.67,0.0
20130121:0209,0.0,0.0,11.42,2.68,0.0
20130121:0309,0.0,0.0,11.13,2.69,0.0
20130121:0409,0.0,0.0,11.25,2.8,0.0
20130121:0509,0.0,0.0,11.37,2.91,0.0
20130121:0609,23.6,4.94,11.49,3.02,1.0
20130121:0709,88.0,14.6,12.97,3.83,0.0
20130121:0809,33.0,22.74,14.44,4.64,0.0
20130121:0909,397.66,28.71,15.92,5.45,1.0
20130121:1009,171.0,31.82,16.25,6.07,0.0
20130121:1109,158.0,31.6,16.57,6.69,0.0
20130121:1209,479.01,28.08,16.9,7.31,0.0
20130121:1309,313.01,21.78,16.38,7.12,0.0
20130121:1409,156.0,13.4,15.87,6.92,0.0
20130121:1509,29.92,3.58,15.35,6.73,0.0
20130121:1609,0.0,0.0,14.53,6.3,0.0
20130121:1709,0.0,0.0,13.72,5.87,0.0
20130121:1809,0.0,0.0,12.91,5.43,0.0
20130121:1909,0.0,0.0,12.38,5.27,0.0
20130121:2009,0.0,0.0,11.85,5.1,0.0
20130121:2109,0.0,0.0,11.32,4.94,0.0
20130121:2209,0.0,0.0,11.33,4.48,0.0
20130121:2309,0.0,0.0,11.33,4.03,0.0
20130122:0009,0.0,0.0,11.34,3.57,0.0
20130122:0109,0.0,0.0,11.06,3.62,0.0
20130122:0209,0.0,0.0,10.78,3.66,0.0
20130122:0309,0.0,0.0,10.5,3.71,0.0
20130122:0409,0.0,0.0,10.41,3.19,0.0
20130122:0509,0.0,0.0,10.33,2.67,0.0
20130122:0609,28.0,5.05,10.25,2.15,0.0
20130122:0709,166.0,14.73,11.52,2.88,0.0
20130122:0809,162.0,22.9,12.79,3.61,0.0
20130122:0909,342.0,28.91,14.06,4.34,0.0
20130122:1009,379.0,32.04,14.27,4.62,0.0
20130122:1109,492.01,31.83,14.48,4.9,0.0
